FileName,Molecule,MinStartTime,MaxEndTime
C30_QC_00.d,dxCA,2.4800,2.6400
C30_QC_01.d,dxCA,1.2800,1.9200
C30_QC_02.d,dxCA,2.2600,2.4100
C30_QC_00.d,GM3(d18:1/16:0),10.0700,10.2500
C30_QC_01.d,GM3(d18:1/16:0),10.0000,10.1800
C30_QC_02.d,GM3(d18:1/16:0),9.9900,10.1600
C30_QC_00.d,GM3(d18:1/18:0),10.7500,10.9300
C30_QC_01.d,GM3(d18:1/18:0),10.6900,10.8700
C30_QC_02.d,GM3(d18:1/18:0),10.6900,10.8600
C30_QC_00.d,GM3(d18:1/20:0),11.3300,11.5100
C30_QC_01.d,GM3(d18:1/20:0),10.3600,10.5900
C30_QC_02.d,GM3(d18:1/20:0),10.3600,10.5500
C30_QC_00.d,GM3(d18:1/22:0),11.8400,12.0200
C30_QC_01.d,GM3(d18:1/22:0),11.7900,11.9800
C30_QC_02.d,GM3(d18:1/22:0),11.7900,11.9800
C30_QC_00.d,GM3(d18:1/24:0),12.2900,12.4900
C30_QC_01.d,GM3(d18:1/24:0),12.2400,12.4600
C30_QC_02.d,GM3(d18:1/24:0),12.2400,12.4200
C30_QC_00.d,GM3(d18:1/24:1),11.7700,11.9600
C30_QC_01.d,GM3(d18:1/24:1),11.7200,11.9000
C30_QC_02.d,GM3(d18:1/24:1),11.7200,11.9200
C30_QC_00.d,LPC 14:0,2.2400,3.2000
C30_QC_01.d,LPC 14:0,2.2000,3.0900
C30_QC_02.d,LPC 14:0,2.1900,3.0800
C30_QC_00.d,LPC 15:0,2.7700,3.8200
C30_QC_01.d,LPC 15:0,2.6900,3.6200
C30_QC_02.d,LPC 15:0,2.6400,3.7200
C30_QC_00.d,LPC 16:0,3.5800,4.7700
C30_QC_01.d,LPC 16:0,3.7200,4.5900
C30_QC_02.d,LPC 16:0,3.4700,4.5900
C30_QC_00.d,LPC 16:1,2.4600,3.5000
C30_QC_01.d,LPC 16:1,2.4100,3.3100
C30_QC_02.d,LPC 16:1,2.4000,3.4000
C30_QC_00.d,LPC 17:0,4.6500,5.6000
C30_QC_01.d,LPC 17:0,4.4700,5.4300
C30_QC_02.d,LPC 17:0,4.4900,5.4000
C30_QC_00.d,LPC 17:1,3.1400,4.2000
C30_QC_01.d,LPC 17:1,3.2000,4.1100
C30_QC_02.d,LPC 17:1,3.1000,4.1100
C30_QC_00.d,LPC 18:0,6.1200,6.9000
C30_QC_01.d,LPC 18:0,5.9400,6.7400
C30_QC_02.d,LPC 18:0,5.9300,6.7000
C30_QC_00.d,LPC 18:1,3.9200,5.1300
C30_QC_01.d,LPC 18:1,4.0300,4.8200
C30_QC_02.d,LPC 18:1,4.0400,4.7500
C30_QC_00.d,LPC 18:2,2.7600,3.7900
C30_QC_01.d,LPC 18:2,2.6900,3.6700
C30_QC_02.d,LPC 18:2,2.6800,3.7000
C30_QC_00.d,LPC 18:3,2.1600,3.1100
C30_QC_01.d,LPC 18:3,2.1900,2.9800
C30_QC_02.d,LPC 18:3,2.1400,2.9300
C30_QC_00.d,LPC 19:0,6.9200,7.9600
C30_QC_01.d,LPC 19:0,7.0800,7.7100
C30_QC_02.d,LPC 19:0,7.0600,7.6300
C30_QC_00.d,LPC 19:1,5.2600,6.2500
C30_QC_01.d,LPC 19:1,5.0900,5.9900
C30_QC_02.d,LPC 19:1,5.1300,5.8100
C30_QC_00.d,LPC 20:0,7.8800,9.0000
C30_QC_01.d,LPC 20:0,8.0800,8.7300
C30_QC_02.d,LPC 20:0,8.0000,8.8400
C30_QC_00.d,LPC 20:1,6.3000,7.1000
C30_QC_01.d,LPC 20:1,6.1200,6.8800
C30_QC_02.d,LPC 20:1,6.0700,6.9200
C30_QC_00.d,LPC 20:2,4.6600,5.4800
C30_QC_01.d,LPC 20:2,4.4900,5.2300
C30_QC_02.d,LPC 20:2,4.1900,5.2700
C30_QC_00.d,LPC 20:3,3.2600,4.1400
C30_QC_01.d,LPC 20:3,3.1900,4.0400
C30_QC_02.d,LPC 20:3,3.1700,4.0300
C30_QC_00.d,LPC 20:4,2.6700,3.6400
C30_QC_01.d,LPC 20:4,2.6000,3.5100
C30_QC_02.d,LPC 20:4,2.6000,3.4900
C30_QC_00.d,LPC 20:5,2.0800,2.9000
C30_QC_01.d,LPC 20:5,2.0500,2.7500
C30_QC_02.d,LPC 20:5,2.0600,2.6900
C30_QC_00.d,LPC 22:0,3.8300,4.7000
C30_QC_01.d,LPC 22:0,3.7100,4.5600
C30_QC_02.d,LPC 22:0,3.8000,4.5700
C30_QC_00.d,LPC 22:1,8.2100,8.8500
C30_QC_01.d,LPC 22:1,8.0400,8.8500
C30_QC_02.d,LPC 22:1,8.0000,8.7600
C30_QC_00.d,LPC 22:4,2.8900,3.6900
C30_QC_01.d,LPC 22:4,2.8000,3.5100
C30_QC_02.d,LPC 22:4,2.7800,3.4700
C30_QC_00.d,LPC 22:5,2.7700,3.8800
C30_QC_01.d,LPC 22:5,2.6600,3.7300
C30_QC_02.d,LPC 22:5,2.6600,3.7900
C30_QC_00.d,LPC 22:6,2.5100,3.4600
C30_QC_01.d,LPC 22:6,2.4400,3.3200
C30_QC_02.d,LPC 22:6,2.4400,3.3200
C30_QC_00.d,LPC 24:0,10.7500,11.5500
C30_QC_01.d,LPC 24:0,10.7800,11.6000
C30_QC_02.d,LPC 24:0,10.8200,11.4300
C30_QC_00.d,LPC 26:0,11.5200,12.3600
C30_QC_01.d,LPC 26:0,11.4500,12.4000
C30_QC_02.d,LPC 26:0,11.4300,12.4700
C30_QC_00.d,LPC O-16:0,4.9700,5.7900
C30_QC_01.d,LPC O-16:0,4.8000,5.6100
C30_QC_02.d,LPC O-16:0,4.8000,5.6100
C30_QC_00.d,LPC O-18:0,4.6800,5.7600
C30_QC_01.d,LPC O-18:0,4.5500,5.5200
C30_QC_02.d,LPC O-18:0,4.4900,5.4500
C30_QC_00.d,LPC O-18:2,3.7600,4.6100
C30_QC_01.d,LPC O-18:2,4.8900,5.7200
C30_QC_02.d,LPC O-18:2,4.8800,5.6300
C30_QC_00.d,LPC O-20:0,7.1600,8.1000
C30_QC_01.d,LPC O-20:0,6.8900,7.7700
C30_QC_02.d,LPC O-20:0,7.0600,7.7600
C30_QC_00.d,LPC O-20:1,5.2800,6.0500
C30_QC_01.d,LPC O-20:1,5.2600,6.0000
C30_QC_02.d,LPC O-20:1,5.0000,6.0000
C30_QC_00.d,LPC O-20:4,7.4200,7.5900
C30_QC_01.d,LPC O-20:4,7.0700,7.2500
C30_QC_02.d,LPC O-20:4,7.2600,7.4300
C30_QC_00.d,LPC O-22:0,2.8500,3.6100
C30_QC_01.d,LPC O-22:0,2.7700,3.3100
C30_QC_02.d,LPC O-22:0,2.7700,3.2800
C30_QC_00.d,LPC O-22:1,9.1400,10.0400
C30_QC_01.d,LPC O-22:1,8.9700,9.8100
C30_QC_02.d,LPC O-22:1,8.9900,9.8800
C30_QC_00.d,LPC O-22:6,8.3300,8.6200
C30_QC_01.d,LPC O-22:6,8.2300,8.5300
C30_QC_02.d,LPC O-22:6,7.9900,8.2700
C30_QC_00.d,LPC O-24:0,11.5200,12.4700
C30_QC_01.d,LPC O-24:0,11.4700,12.3600
C30_QC_02.d,LPC O-24:0,11.4600,12.2500
C30_QC_00.d,LPC O-24:1,10.5500,11.4500
C30_QC_01.d,LPC O-24:1,10.4200,11.4700
C30_QC_02.d,LPC O-24:1,10.4200,11.2300
C30_QC_00.d,LPC O-24:2,9.4400,10.3700
C30_QC_01.d,LPC O-24:2,9.2300,10.2200
C30_QC_02.d,LPC O-24:2,9.1800,10.2400
C30_QC_00.d,LPC P-16:0,4.7400,5.7500
C30_QC_01.d,LPC P-16:0,4.5700,5.6200
C30_QC_02.d,LPC P-16:0,4.5700,5.5500
C30_QC_00.d,LPC P-17:0,2.6100,3.4700
C30_QC_01.d,LPC P-17:0,2.5400,3.3800
C30_QC_02.d,LPC P-17:0,2.5400,3.3300
C30_QC_00.d,LPC P-18:0,5.2600,6.2900
C30_QC_01.d,LPC P-18:0,5.1000,6.0400
C30_QC_02.d,LPC P-18:0,5.0800,5.9900
C30_QC_00.d,LPC P-18:1,3.8500,4.5600
C30_QC_01.d,LPC P-18:1,4.9000,5.5600
C30_QC_02.d,LPC P-18:1,4.8500,5.6000
C30_QC_00.d,LPE P-16:0,4.6100,4.9000
C30_QC_01.d,LPE P-16:0,4.4800,4.7500
C30_QC_02.d,LPE P-16:0,4.4600,4.7200
C30_QC_00.d,LPE P-18:0,6.8400,7.1300
C30_QC_01.d,LPE P-18:0,6.6700,7.0700
C30_QC_02.d,LPE P-18:0,6.7000,6.9500
C30_QC_00.d,LPE P-18:1,4.8900,5.2000
C30_QC_01.d,LPE P-18:1,4.7000,5.1100
C30_QC_02.d,LPE P-18:1,4.7400,4.9800
C30_QC_00.d,LPE P-20:0,8.6400,8.9700
C30_QC_01.d,LPE P-20:0,8.5300,8.7100
C30_QC_02.d,LPE P-20:0,8.5800,8.7400
C30_QC_00.d,MAG 14:0,6.3200,6.4800
C30_QC_01.d,MAG 14:0,5.5700,5.6600
C30_QC_02.d,MAG 14:0,6.9700,7.1300
C30_QC_00.d,MAG 15:0,4.0900,4.4300
C30_QC_01.d,MAG 15:0,4.2700,4.3500
C30_QC_02.d,MAG 15:0,5.9100,6.0400
C30_QC_00.d,MAG 16:0,1.8900,2.0400
C30_QC_01.d,MAG 16:0,1.8800,2.0300
C30_QC_02.d,MAG 16:0,1.4100,1.5800
C30_QC_00.d,MAG 16:1,12.0800,12.3000
C30_QC_01.d,MAG 16:1,13.0100,13.2000
C30_QC_02.d,MAG 16:1,12.7600,13.0000
C30_QC_00.d,MAG 17:0,10.7200,10.8800
C30_QC_01.d,MAG 17:0,9.9000,10.0600
C30_QC_02.d,MAG 17:0,9.7500,9.9100
C30_QC_00.d,MAG 18:0,7.2200,7.3800
C30_QC_01.d,MAG 18:0,5.3300,6.0700
C30_QC_02.d,MAG 18:0,5.1200,5.9800
C30_QC_00.d,MAG 18:2,6.6800,6.8900
C30_QC_01.d,MAG 18:2,8.2000,8.3600
C30_QC_02.d,MAG 18:2,7.7400,7.8900
C30_QC_00.d,MAG 18:3,7.8400,8.0000
C30_QC_01.d,MAG 18:3,9.2700,9.4500
C30_QC_02.d,MAG 18:3,9.1100,9.2500
C30_QC_00.d,MAG 19:0,0.8200,0.9500
C30_QC_01.d,MAG 19:0,0.8200,0.9000
C30_QC_02.d,MAG 19:0,0.8500,1.4900
C30_QC_00.d,MAG 20:0,2.9800,3.1500
C30_QC_01.d,MAG 20:0,4.1000,4.4100
C30_QC_02.d,MAG 20:0,4.0600,4.3700
C30_QC_00.d,MAG 20:1,4.2800,4.4500
C30_QC_01.d,MAG 20:1,5.2600,5.8100
C30_QC_02.d,MAG 20:1,5.0000,5.1600
C30_QC_00.d,MAG 20:2,7.5100,7.6700
C30_QC_01.d,MAG 20:2,6.6200,7.0600
C30_QC_02.d,MAG 20:2,7.0000,7.1800
C30_QC_00.d,MAG 20:3,2.5800,3.1800
C30_QC_01.d,MAG 20:3,2.4900,2.9200
C30_QC_02.d,MAG 20:3,2.5200,2.8100
C30_QC_00.d,MAG 20:4,3.2500,3.4800
C30_QC_01.d,MAG 20:4,2.9500,3.1100
C30_QC_02.d,MAG 20:4,3.1200,3.2800
C30_QC_00.d,MAG 20:5,8.8400,8.9900
C30_QC_01.d,MAG 20:5,7.6300,7.7800
C30_QC_02.d,MAG 20:5,8.4700,8.6300
C30_QC_00.d,MAG 22:4,2.8900,3.5500
C30_QC_01.d,MAG 22:4,2.8400,3.3000
C30_QC_02.d,MAG 22:4,2.8200,3.3500
C30_QC_00.d,MAG 22:5,4.2600,4.5400
C30_QC_01.d,MAG 22:5,4.1000,4.4200
C30_QC_02.d,MAG 22:5,4.1200,4.3800
C30_QC_00.d,MAG 22:6,4.2500,4.5400
C30_QC_01.d,MAG 22:6,4.1400,4.3600
C30_QC_02.d,MAG 22:6,4.1500,4.4100
C30_QC_00.d,PC O-16:0_16:0,12.7400,13.1900
C30_QC_01.d,PC O-16:0_16:0,12.6800,13.1900
C30_QC_02.d,PC O-16:0_16:0,12.6600,13.1900
C30_QC_00.d,PC O-16:0_20:4,11.0100,11.7500
C30_QC_01.d,PC O-16:0_20:4,10.9400,11.6800
C30_QC_02.d,PC O-16:0_20:4,10.9300,11.6700
C30_QC_00.d,PC O-16:0_22:6,11.8000,12.4700
C30_QC_01.d,PC O-16:0_22:6,11.7400,12.4000
C30_QC_02.d,PC O-16:0_22:6,11.7000,12.4300
C30_QC_00.d,PC O-18:0_18:1,12.3600,13.1900
C30_QC_01.d,PC O-18:0_18:1,12.3100,13.1900
C30_QC_02.d,PC O-18:0_18:1,12.2900,13.1900
C30_QC_00.d,PC O-18:0_20:4,11.6000,12.5900
C30_QC_01.d,PC O-18:0_20:4,11.5600,12.5100
C30_QC_02.d,PC O-18:0_20:4,11.5500,12.5000
C30_QC_00.d,PC O-18:0_22:6,11.3800,12.3400
C30_QC_01.d,PC O-18:0_22:6,12.0000,12.4500
C30_QC_02.d,PC O-18:0_22:6,11.3100,12.2700
C30_QC_00.d,PC O-32:2,10.9700,11.6600
C30_QC_01.d,PC O-32:2,10.8900,11.6300
C30_QC_02.d,PC O-32:2,10.8800,11.6100
C30_QC_00.d,PC O-34:1,11.7200,12.5800
C30_QC_01.d,PC O-34:1,11.6500,12.5300
C30_QC_02.d,PC O-34:1,11.6300,12.5100
C30_QC_00.d,PC O-34:2,11.1400,11.9900
C30_QC_01.d,PC O-34:2,11.9900,12.8600
C30_QC_02.d,PC O-34:2,11.9700,12.8900
C30_QC_00.d,PC O-34:4,11.0300,12.1500
C30_QC_01.d,PC O-34:4,10.9600,12.0300
C30_QC_02.d,PC O-34:4,10.9700,12.0600
C30_QC_00.d,PC O-35:4,10.7100,11.5000
C30_QC_01.d,PC O-35:4,10.6100,11.3400
C30_QC_02.d,PC O-35:4,10.6000,11.3800
C30_QC_00.d,PC O-36:0,11.0200,11.6700
C30_QC_01.d,PC O-36:0,10.9600,11.5700
